id,uuid,user_id,user_login,user_name,license,url,image_url,scientific_name,common_name,iconic_taxon_name,taxon_id
2709364,a85d0774-d062-4982-bb3e-3ed8d9514025,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2709364,https://inaturalist-open-data.s3.amazonaws.com/photos/3052801/medium.JPG,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2709381,c5e78cf1-3a51-4584-8857-26152d371d02,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2709381,https://inaturalist-open-data.s3.amazonaws.com/photos/3052840/medium.JPG,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2715014,bf6f152d-e88b-4420-a823-0120a3973f68,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2715014,https://inaturalist-open-data.s3.amazonaws.com/photos/3061215/medium.JPG,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2727458,0aefe8f1-33c2-4534-ac66-b47fc9be27e9,477,loarie,Scott Loarie,CC0,http://www.inaturalist.org/observations/2727458,https://inaturalist-open-data.s3.amazonaws.com/photos/3075902/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2815659,dd7afe04-f9d1-4cb5-9963-9b212c27b676,477,loarie,Scott Loarie,CC0,http://www.inaturalist.org/observations/2815659,https://inaturalist-open-data.s3.amazonaws.com/photos/3201534/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2837282,1783170f-69a1-4600-95dc-082b6ccdb8c4,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2837282,https://inaturalist-open-data.s3.amazonaws.com/photos/3233139/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2909432,19bfd0ec-f3da-475e-a115-01c5a61440c7,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2909432,https://inaturalist-open-data.s3.amazonaws.com/photos/3328864/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
2941254,2f6d8dae-0e2f-43bc-a7af-b3bed4286ebd,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/2941254,https://inaturalist-open-data.s3.amazonaws.com/photos/3372301/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
3935734,dc365d77-00c6-4636-8b79-088e006900ac,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/3935734,https://inaturalist-open-data.s3.amazonaws.com/photos/4633846/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
4106043,75ba7661-b2f3-48b7-aeb4-7e7cfb0a32c7,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/4106043,https://inaturalist-open-data.s3.amazonaws.com/photos/4879144/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
4205439,9c06aa4b-0add-42da-81eb-1a928c7b3457,52839,glmory,Jesse Rorabaugh,CC0,http://www.inaturalist.org/observations/4205439,https://inaturalist-open-data.s3.amazonaws.com/photos/5013854/medium.jpg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
4429702,60566a1a-4be5-421d-a0ba-706286251294,266296,swells,Steve Wells,CC0,http://www.inaturalist.org/observations/4429702,https://inaturalist-open-data.s3.amazonaws.com/photos/5329644/medium.jpeg,Cycloneda sanguinea,Spotless Lady Beetle,Insecta,124431
