id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1737718,44547,marvin,Marvin Smith,CC-BY-NC,http://www.inaturalist.org/observations/1737718,https://inaturalist-open-data.s3.amazonaws.com/photos/2106887/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
2081029,28294,sarova,Sara DeAngelis,CC-BY-SA,http://www.inaturalist.org/observations/2081029,https://inaturalist-open-data.s3.amazonaws.com/photos/2487909/medium.jpg,Coleomegilla maculata lengi,Coleomegilla maculata lengi,,Insecta,128550
2700103,44100,vilseskog,Lena Struwe,CC-BY-NC,http://www.inaturalist.org/observations/2700103,https://inaturalist-open-data.s3.amazonaws.com/photos/3039940/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
3127845,216168,psweet,"",CC-BY-SA,http://www.inaturalist.org/observations/3127845,https://inaturalist-open-data.s3.amazonaws.com/photos/3618368/medium.jpg,Spotted Pink Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
3281349,6432,ospreyeagle,Heidi Hellstern,CC-BY-NC,http://www.inaturalist.org/observations/3281349,https://inaturalist-open-data.s3.amazonaws.com/photos/3793678/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
3426138,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/3426138,https://inaturalist-open-data.s3.amazonaws.com/photos/3968748/medium.JPG,Coleomegilla maculata strenua,Coleomegilla maculata strenua,,Insecta,320472
4434441,216168,psweet,"",CC-BY-SA,http://www.inaturalist.org/observations/4434441,https://inaturalist-open-data.s3.amazonaws.com/photos/5336037/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
4603104,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,http://www.inaturalist.org/observations/4603104,https://inaturalist-open-data.s3.amazonaws.com/photos/5565321/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
4887322,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/4887322,https://inaturalist-open-data.s3.amazonaws.com/photos/5943153/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
5296126,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/5296126,https://inaturalist-open-data.s3.amazonaws.com/photos/6554160/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
6094823,285868,cmeyersia,Curtis Meyers,CC-BY-SA,https://www.inaturalist.org/observations/6094823,https://inaturalist-open-data.s3.amazonaws.com/photos/7623577/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
7005448,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/7005448,https://inaturalist-open-data.s3.amazonaws.com/photos/8976340/medium.jpeg,Spotted Pink Ladybeetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
7090150,216168,psweet,"",CC-BY-SA,https://www.inaturalist.org/observations/7090150,https://inaturalist-open-data.s3.amazonaws.com/photos/9109417/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
7237005,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/7237005,https://inaturalist-open-data.s3.amazonaws.com/photos/9346258/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
7318590,509673,garvinma,Matt Garvin,CC-BY-SA,https://www.inaturalist.org/observations/7318590,https://inaturalist-open-data.s3.amazonaws.com/photos/9476965/medium.jpeg,Coleomegilla maculata,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
8785359,697177,reinerjakubowski,Reiner Jakubowski,CC-BY-NC,https://www.inaturalist.org/observations/8785359,https://inaturalist-open-data.s3.amazonaws.com/photos/11791291/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
10094396,1515879,judygva,Judy Gallagher,CC-BY,https://www.inaturalist.org/observations/10094396,https://inaturalist-open-data.s3.amazonaws.com/photos/13908087/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
10239677,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/10239677,https://inaturalist-open-data.s3.amazonaws.com/photos/14158914/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
11648951,30753,rhondaridley,Rhonda Ridley,CC-BY-SA,https://www.inaturalist.org/observations/11648951,https://inaturalist-open-data.s3.amazonaws.com/photos/16643427/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
12170016,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/12170016,https://inaturalist-open-data.s3.amazonaws.com/photos/17471443/medium.jpeg,Spotted Ladybeetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
12845757,401030,achang,Amy,CC-BY-SA,https://www.inaturalist.org/observations/12845757,https://inaturalist-open-data.s3.amazonaws.com/photos/18639143/medium.jpg,Spotted Ladybeetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
13158053,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/13158053,https://inaturalist-open-data.s3.amazonaws.com/photos/19199786/medium.jpeg,Spotted Pink Ladybeetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
13189234,382654,abookb,Antonia Bookbinder,CC-BY-SA,https://www.inaturalist.org/observations/13189234,https://inaturalist-open-data.s3.amazonaws.com/photos/19279283/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
13220056,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/13220056,https://inaturalist-open-data.s3.amazonaws.com/photos/19332513/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
13868571,278233,isaaclarkin,Isaac Larkin,CC-BY-SA,https://www.inaturalist.org/observations/13868571,https://inaturalist-open-data.s3.amazonaws.com/photos/20472919/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
14518878,697177,reinerjakubowski,Reiner Jakubowski,CC-BY-NC,https://www.inaturalist.org/observations/14518878,https://inaturalist-open-data.s3.amazonaws.com/photos/21618144/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
16316427,466325,humanbyweight,"C.A. ""Alie"" Kratzer",CC-BY-SA,https://www.inaturalist.org/observations/16316427,https://inaturalist-open-data.s3.amazonaws.com/photos/24512246/medium.jpeg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
17101616,697177,reinerjakubowski,Reiner Jakubowski,CC-BY-NC,https://www.inaturalist.org/observations/17101616,https://inaturalist-open-data.s3.amazonaws.com/photos/25893646/medium.jpg,Spotted Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
18560498,1515879,judygva,Judy Gallagher,CC-BY,https://www.inaturalist.org/observations/18560498,https://inaturalist-open-data.s3.amazonaws.com/photos/28396920/medium.jpg,Spotted Pink Lady Beetle,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
19531762,1515879,judygva,Judy Gallagher,CC-BY,https://www.inaturalist.org/observations/19531762,https://inaturalist-open-data.s3.amazonaws.com/photos/30059780/medium.jpg,coccinelle maculée,Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,126267
